execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,p_object_pool,p_model_pool_target_init,p_model_pool_non_target_init,seed_clone,seed_mutations,test_dir
1,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
2,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
3,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
4,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
5,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
6,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
7,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
8,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
9,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
10,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
11,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
12,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
13,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
14,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
15,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
16,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
17,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
18,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
19,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
20,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
21,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
22,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
23,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
24,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
25,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
26,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
27,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
28,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
29,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
30,time,TIME-2b,2b,becnhmark/applications/TIME-bins/TIME-2b,time,becnhmark/crashes/TIME/TIME-2b/TIME-2b.log,yes,2f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-2b
1,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
2,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
3,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
4,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
5,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
6,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
7,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
8,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
9,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
10,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
11,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
12,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
13,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
14,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
15,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
16,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
17,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
18,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
19,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
20,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
21,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
22,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
23,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
24,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
25,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
26,time,TIME-20b,20b,becnhmark/applications/TIME-bins/TIME-20b,time,becnhmark/crashes/TIME/TIME-20b/TIME-20b.log,yes,20f,1,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/TIME-20b
