execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,p_object_pool,p_model_pool_target_init,p_model_pool_non_target_init,seed_clone,seed_mutations,test_dir
1,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
2,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
3,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
4,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
5,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
6,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
7,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
8,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
9,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
10,xwiki,XWIKI-13942,8.4,becnhmark/applications/XWIKI-bins/XWIKI-8.4,xwiki,becnhmark/crashes/XWIKI/XWIKI-13942/XWIKI-13942.log,yes,8.4.4,,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/XWIKI-13942
